,File Name,Duration (s)
0,T6E79400000,278144
1,T6E79400001,109440
2,T6E79400002,88384
3,T6E79400003,411968
4,T6E79400004,337472
5,T6E79400005,419328
6,T6E79400006,253632
7,T6E79400007,161024
8,T6E79400008,352832
9,T6E79400009,170496
10,T6E79400010,387200
11,T6E79400011,476480
12,T6E79400012,300992
13,T6E79400013,218816
14,T6E79400014,457280
15,T6E79400015,211648
16,T6E79400016,167104
17,T6E79400017,81344
18,T6E79400018,404096
19,T6E79400019,336960
20,T6E79400020,319104
21,T6E79400021,509248
22,T6E79400022,121408
23,T6E79400023,185920
24,T6E79400024,244288
25,T6E79400025,113792
26,T6E79400026,108864
27,T6E79400027,163200
28,T6E79400028,108288
29,T6E79400029,193472
30,T6E79400030,231360
31,T6E79400031,603904
32,T6E79400032,187264
33,T6E79400033,664128
34,T6E79400034,113472
35,T6E79400035,454464
36,T6E79400036,119424
37,T6E79400037,364800
38,T6E79400038,197568
39,T6E79400039,174400
40,T6E79400040,379392
41,T6E79400041,74432
42,T6E79400042,274496
43,T6E79400043,212608
44,T6E79400044,209728
45,T6E79400045,80128
46,T6E79400046,214912
47,T6E79400047,66304
48,T6E79400048,139456
49,T6E79400049,163456
50,T6E79400050,278400
51,T6E79400051,175104
52,T6E79400052,179072
53,T6E79400053,149760
54,T6E79400054,374080
55,T6E79400055,520320
56,T6E79400056,139744
57,T6E79400057,85312
58,T6E79400058,312896
59,T6E79400059,234624
60,T6E79400060,184960
61,T6E79400061,147008
62,T6E79400062,359936
63,T6E79400063,184640
64,T6E79400064,126080
65,T6E79400065,148736
66,T6E79400066,165824
67,T6E79400067,173504
68,T6E79400068,107712
69,T6E79400069,83904
70,T6E79400070,236608
71,T6E79400071,38400
72,T6E79400072,88768
73,T6E79400073,198144
74,T6E79400074,194880
75,T6E79400075,276544
76,T6E79400076,157888
77,T6E79400077,72576
78,T6E79400078,226496
79,T6E79400079,169408
80,T6E79400080,143744
81,T6E79400081,322176
82,T6E79400082,428288
83,T6E79400083,221056
84,T6E79400084,260352
85,T6E79400085,105408
86,T6E79400086,124928
87,T6E79400087,153856
88,T6E79400088,81184
89,T6E79400089,91200
90,T6E79400090,274560
91,T6E79400091,178752
92,T6E79400092,116864
93,T6E79400093,351168
94,T6E79400094,156992
95,T6E79400095,249856
96,T6E79400096,176000
97,T6E79400097,220864
98,T6E79400098,108608
99,T6E79400099,283328
100,T6E79400100,246912
101,T6E79400101,93440
102,T6E79400102,199488
103,T6E79400103,254592
104,T6E79400104,136832
105,T6E79400105,264448
106,T6E79400106,257984
107,T6E79400108,241536
108,T6E79400109,126464
109,T6E79400110,144448
110,T6E79400111,150912
111,T6E79400112,130752
112,T6E79400113,114880
113,T6E79400114,180224
114,T6E79400115,347328
115,T6E79400116,132864
116,T6E79400117,157760
117,T6E79400118,143360
118,T6E79400119,200832
119,T6E79400120,307520
120,T6E79400121,196864
121,T6E79400122,147776
122,T6E79400123,204544
123,T6E79400124,229056
124,T6E79400125,64320
125,T6E79400126,159424
126,T6E79400127,154048
127,T6E79400128,156160
128,T6E79400129,89472
129,T6E79400130,235072
130,T6E79400132,135936
131,T6E79400133,227904
132,T6E79400134,163008
133,T6E79400135,120896
134,T6E79400136,185152
135,T6E79400137,242688
136,T6E79400138,45440
137,T6E79400139,75520
138,T6E79400140,181696
139,T6E79400141,314880
140,T6E79400142,209792
141,T6E79400143,225920
142,T6E79400144,301376
143,T6E79400146,357184
144,T6E79400147,752896
145,T6E79400148,213952
146,T6E79400149,179328
147,T6E79400150,191808
148,T6E79400151,159744
149,T6E79400152,182912
150,T6E79400153,217792
151,T6E79400154,159040
152,T6E79400155,193536
153,T6E79400156,321216
154,T6E79400157,380096
155,T6E79400158,242944
156,T6E79400159,184832
157,T6E79400160,223168
158,T6E79400161,342080
159,T6E79400162,120768
160,T6E79400163,192896
161,T6E79400164,260864
162,T6E79400165,171072
163,T6E79400166,181760
164,T6E79400167,213312
165,T6E79400168,313408
166,T6E79400169,127808
167,T6E79400170,222848
168,T6E79400171,173824
169,T6E79400172,156288
170,T6E79400173,147264
171,T6E79400174,249024
172,T6E79400175,783936
173,T6E79400177,375936
174,T6E79400178,152960
175,T6E79400179,118592
176,T6E79400180,228992
177,T6E79400181,312384
178,T6E79400183,304192
179,T6E79400184,239552
180,T6E79400185,211840
181,T6E79400186,97472
182,T6E79400187,455296
183,T6E79400188,85376
184,T6E79400189,429440
185,T6E79400190,104448
186,T6E79400191,493632
187,T6E79400192,330176
188,T6E79400193,210624
189,T6E79400194,201728
190,T6E79400195,388160
191,T6E79400196,134912
192,T6E79400197,446400
193,T6E79400198,239424
